id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix
terminator_2_judgment_day,Terminator 2: Judgment Day,95,92,R,"['Strong Sci-Fi Action', 'Language', 'Violence']",1991-07-03,2007-02-13,136,"Sci-fi, Action",English,James Cameron,"James Cameron,William Wisher Jr.",$552.8K,"TriStar Pictures, Pioneer Entertainment, Artisan Entertainment, Live Video",Surround
ice_age_2002,Ice Age,100,,PG,['Mild Peril'],,,81,"Kids & family, Comedy, Adventure, Animation",English,Chris Wedge,"Michael J. Wilson,Michael J. Wilson,Michael Berg,Peter Ackerman",,,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR"
star_wars_episode_iii_revenge_of_the_sith,Star Wars: Episode III -- Revenge of the Sith,66,79,PG-13,"['Some Intense Images', 'Sci-Fi Violence']",2005-05-19,2005-11-01,140,"Sci-fi, Adventure, Action, Fantasy",English,George Lucas,George Lucas,$380.3M,20th Century Fox,"Surround, Dolby SRD, DTS, SDDS"
rogue_one_a_star_wars_story,Rogue One: A Star Wars Story,87,84,PG-13,['Sci-Fi Violence and Action'],2016-12-16,2017-04-04,134,"Sci-fi, Adventure, Action, Fantasy",English,Gareth Edwards,"Chris Weitz,Tony Gilroy",$533.2M,Walt Disney,"Dolby Digital, Dolby Atmos"
star_wars_a_new_hope,Star Wars: Episode IV -- A New Hope,96,93,,,1977-05-25,2005-12-06,121,"Sci-fi, Adventure, Action, Fantasy",English,George Lucas,George Lucas,$345,,Surround
the_return_of_godzilla,The Return of Godzilla,86,,,,,,,,,,,,,
pianist,The Pianist,96,95,R,"['Violence', 'Brief Strong Language']",2002-12-27,2003-05-27,148,"History, Drama, War",English,Roman Polanski,"Wladyslaw Szpilman,Ronald Harwood",$32.5M,Focus Features,Surround
ice_age_continental_drift,Ice Age: Continental Drift,61,37,PG,"['Mild Rude Humor', 'Action/Peril']",2012-07-13,2012-12-11,87,"Kids & family, Comedy, Adventure, Animation",English,"Steve Martino,Mike Thurmeier","Michael Berg,Jason Fuchs",,20th Century Fox,"Dolby Digital, Datasat"
ice_age_2,Ice Age: The Meltdown,71,57,PG,"['Some Mild Language', 'Innuendo']",2006-03-31,2006-11-21,91,"Kids & family, Comedy, Adventure, Animation",English,Carlos Saldanha,"Peter Gaulke,Jon Vitti",$195.3M,20th Century Fox,"Dolby SRD, DTS"
